Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
         1.01     72  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\paynetreloar1004_files
         0.93     79  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\pelikanruppyoung1004_files
         1.27     79  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\poznansky-DLF_files
         1.32    148  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\rosenkrantzenders1004_files
         0.55    162  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\ruddy1004_files
         0.14     26  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\sandore1004_files
         0.48     37  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\seaman1004_files
         1.34     53  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\stanescu1004_files
         1.58     70  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\techbooks1004_files
         0.26     47  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\unsworth1004_files
         1.60    263  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\vandesompel1004_files
         4.69    279  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\warrenscott1004_files
         0.97    213  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\whitesiderose1004_files
!       17.16    590  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\witten1004_files
         0.35     95  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\ying1004_files
         1.03     20  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\pictures
         1.74     41  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations
         0.63     49  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\abrams1105_files
         3.25    107  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\anderson_files
         1.01     76  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\aquifer1105_files
         0.10     19  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\Aquifer_Metadata_files
         0.54     70  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\cole1105_files
         0.13     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\dilauro1105_files
         2.84    177  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\dunn1105_files
         0.10     19  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\dunn1105_files\Aquifer_Metadata_files
         0.77    104  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\evans1105_files
         0.27     30  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\habing-oaigrant1105_files
         0.79     48  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\hagedorn-oaigrant1105_files
         0.24     24  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\hagedorn1105_files
         0.61     42  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\halbert-oaigrant1105_files
         0.39     44  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\johnson1105_files
         0.52     34  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\kimpton1105_files
         0.47     65  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\kunze1105_files
         0.16     27  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\landis1105_files
         0.53     86  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\le1105_files
         2.41     68  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\lefurgy1105_files
         1.23     62  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\nelson1105_files
         0.82     70  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\nguyen1105_files
         4.16    124  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\ockhambof1105_files
         0.75    104  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\owens1105_files
         1.71     62  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\peters1105_files
